ANIO,CCDD,CCPP,CCDI,LATITUD,LONGITUD,P502B_1,P502B_2,P502B_3,P502B_4,P502B_5,P502B_6,P502B_7,P503B_1,P503B_2,P503B_3,P503B_4,P503B_5,P503B_6,P504B
2014,1,1,6,-6.93683789917,-77.7921785301,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,1,1,7,-6.09998404189,-77.5766021512,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,1,1,8,-6.15613719303,-77.874974736,1,0,0,0,0,0,,1,0,0,0,0,0,1
2014,1,1,10,-6.77695303203,-77.8431446114,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,1,1,13,-6.58713678601,-77.7579043388,0,0,0,1,0,0,,0,1,0,0,0,0,4
2014,1,1,14,-6.17647102737,-77.6818340626,0,0,1,0,0,0,,1,0,0,0,0,0,5
2014,1,1,17,-6.10592683682,-77.6627500579,0,0,0,0,1,0,,0,0,1,0,0,0,6
2014,1,1,20,-6.33586612244,-77.7205050545,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,1,2,2,-5.40385250303,-78.4350020754,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,1,2,3,-5.62246258949,-78.3891766976,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,1,3,6,-5.8480943894,-77.922555164,0,1,0,0,0,0,,0,1,0,0,0,0,4
2014,1,3,7,-5.9470708879,-77.9964170872,1,0,0,0,0,0,,1,0,0,0,0,0,1
2014,1,3,8,-5.93922093035,-77.775359046,0,0,0,0,0,1,,1,0,0,0,0,0,6
2014,1,3,10,-5.85942766958,-78.0436703813,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,1,5,1,-6.11742402017,-77.9254341222,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,1,5,7,-6.40243800323,-78.0159177224,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,1,5,8,-6.19377471931,-78.0034617388,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,1,5,9,-6.17662424483,-77.9601175413,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,1,5,13,-6.33412756861,-78.2304507401,1,0,0,0,0,0,,1,0,0,0,0,0,6
2014,1,5,17,-6.6340690569,-77.863420101,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,1,5,23,-6.14889243439,-77.99036537,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,1,6,4,-6.42280091959,-77.4933535765,1,0,0,0,0,0,,1,0,0,0,0,0,6
2014,1,6,5,-6.53354497807,-77.6577169913,0,1,0,0,0,0,,1,0,0,0,0,0,5
2014,1,7,1,-5.90927629947,-78.4325920697,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,1,7,1,-5.8445176843,-78.3422966962,0,1,0,0,0,0,,1,0,0,0,0,0,5
2014,1,7,2,-5.77614145714,-78.0939232739,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,1,7,6,-6.14596791274,-78.3703464491,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,2,1,4,-9.75674688141,-77.8147821543,0,0,0,0,1,0,,1,0,0,0,0,0,6
2014,2,1,5,-9.52456912605,-77.5503936173,0,1,0,0,0,0,,0,0,0,0,0,1,2
2014,2,1,12,-9.40476078854,-77.5598740755,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,2,2,1,-9.74543180713,-77.6648021998,0,0,0,1,0,0,,0,1,0,0,0,0,4
2014,2,3,1,-9.10323684431,-76.9690180216,0,1,0,0,0,0,,0,0,0,0,0,1,2
2014,2,3,6,-9.20076957016,-76.9970853294,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,2,4,1,-9.19024780028,-77.4659928755,0,0,0,1,0,0,,0,1,0,0,0,0,4
2014,2,6,8,-9.33025344097,-77.4310995261,0,0,0,1,0,0,,1,0,0,0,0,0,4
2014,2,6,9,-9.22055074925,-77.6283159787,0,0,0,1,0,0,,0,1,0,0,0,0,4
2014,2,7,2,-9.01354316567,-77.1731148265,0,0,0,0,0,1,,0,0,0,0,0,1,6
2014,2,8,3,-9.54500105835,-78.3425108889,0,1,0,0,0,0,,1,0,0,0,0,0,5
2014,2,8,4,-9.46014861589,-78.0214543864,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,2,9,1,-8.60549535798,-77.9044845883,0,0,0,1,0,0,,1,0,0,0,0,0,4
2014,2,10,3,-9.32777101101,-77.1496132675,1,0,0,1,0,0,,1,0,0,0,0,0,4
2014,2,10,4,-9.58840795631,-77.2634872829,0,0,0,1,0,0,,0,1,0,0,0,0,4
2014,2,10,5,-9.28360117573,-76.9321321127,0,0,0,1,0,0,,0,1,0,0,0,0,4
2014,2,10,8,-9.4725104508,-77.1526224623,1,0,0,1,0,0,,1,1,0,0,0,0,4
2014,2,10,9,-9.31822766581,-77.090446316,1,0,0,0,1,0,,1,0,1,0,0,0,5
2014,2,11,3,-9.78929730272,-78.0294761672,1,0,0,0,0,0,,1,0,0,0,0,0,1
2014,2,12,1,-9.06881795228,-77.7960669665,0,1,0,0,0,0,,1,0,0,0,0,0,5
2014,2,12,7,-9.18616089991,-77.8174685515,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,2,12,9,-8.88484810745,-77.9416205833,0,0,0,0,0,1,,0,1,0,0,0,0,6
2014,2,13,6,-8.95100189202,-77.3808652869,0,0,0,0,0,1,,0,0,0,0,0,1,6
2014,2,14,8,-10.4132339817,-77.2402418763,0,0,0,1,0,0,,0,0,0,0,0,1,4
2014,2,15,3,-8.16725349371,-77.6459432048,1,0,0,0,0,0,,1,0,0,0,0,0,6
2014,2,15,5,-8.33309004398,-77.933934365,0,1,0,1,0,0,,0,1,0,0,0,1,4
2014,2,16,1,-8.81456245796,-77.4632180352,1,0,0,0,0,0,,1,0,0,0,0,0,2
2014,2,16,2,-8.86646053566,-77.4315313209,1,1,0,1,0,0,,1,1,0,0,0,1,5
2014,2,17,2,-9.89307776618,-77.4349779749,0,1,0,0,1,0,,1,0,0,0,0,1,6
2014,2,18,1,-8.86920862892,-78.5761411087,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,2,18,8,-8.99173887649,-78.6055301644,1,0,0,0,0,0,,1,0,0,0,0,0,6
2014,2,19,5,-8.36331460078,-77.679195288,0,0,0,1,0,0,,1,0,0,0,0,0,4
2014,2,19,6,-8.49320441574,-77.5818520193,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,2,19,9,-8.65012973485,-77.5588036763,1,0,0,1,0,0,,1,0,0,0,0,0,4
2014,2,20,1,-9.1549244304,-77.7346285948,0,1,0,0,0,0,,1,0,0,0,0,0,2
2014,2,20,3,-9.21463068529,-77.6812811434,1,0,0,0,0,0,,1,0,0,0,0,0,2
2014,2,20,7,-9.21127013823,-77.7059043331,0,1,0,0,0,0,,0,0,0,0,0,1,2
2014,2,20,8,-9.02660879666,-77.4592647251,0,0,0,0,0,1,,1,0,0,0,0,0,6
2014,3,1,1,-13.62902771,-72.8049061367,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,3,1,4,-13.7315343036,-72.5017863881,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,3,1,4,-13.526021916,-72.6834474206,0,0,0,1,0,0,,0,1,0,0,0,0,4
2014,3,1,5,-13.499030485,-72.9291674312,0,0,0,0,1,1,,0,0,1,0,0,0,5
2014,3,1,6,-13.8333772819,-72.8405473343,0,1,0,0,0,0,,0,0,1,0,0,0,5
2014,3,1,9,-13.6105649211,-72.8610529871,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,3,2,1,-13.749795731,-73.384270547,1,0,0,1,0,0,,1,1,0,0,0,0,4
2014,3,2,1,-13.7766953292,-73.3811328992,0,0,0,1,1,0,,1,1,0,0,0,0,4
2014,3,2,2,-13.5327427569,-73.4275018609,0,1,0,1,0,0,,1,0,0,0,0,0,4
2014,3,2,4,-13.6577522803,-73.0762135113,0,0,0,1,0,0,,0,0,0,0,0,1,4
2014,3,2,5,-13.7226782431,-73.5412813942,1,0,0,1,0,0,,1,0,0,0,0,0,4
2014,3,2,6,-14.0168609951,-73.5774371013,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,3,2,7,-13.6283815762,-73.1401914315,1,0,0,0,0,0,,1,0,0,0,0,0,1
2014,3,2,8,-13.5489053171,-73.112684945,0,0,0,1,0,0,,0,1,0,0,0,0,4
2014,3,2,9,-13.6156270895,-73.2438974925,0,0,0,1,0,1,,1,0,0,0,0,0,4
2014,3,2,13,-13.6744974587,-73.2894359719,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,3,2,14,-13.9567367974,-73.5963889571,0,0,0,0,1,0,,1,0,0,0,0,0,6
2014,3,2,15,-13.6838867396,-73.5604200257,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,3,2,16,-13.7140323304,-73.4748979192,1,0,0,0,0,0,,1,0,0,0,0,0,5
2014,3,2,18,-13.7835674768,-73.4502361102,0,0,0,1,0,0,,0,1,0,0,0,0,4
2014,3,2,19,-13.539558816,-73.2830273952,0,0,0,1,0,0,,0,1,0,0,0,0,4
2014,3,3,2,-14.1578061244,-73.0352124144,0,0,1,0,0,0,,1,0,0,0,0,0,3
2014,3,3,3,-14.3398832322,-72.7748681024,0,0,0,0,1,0,,1,0,0,0,0,0,5
2014,3,3,4,-14.3818340519,-72.9447277029,1,0,0,0,0,1,,1,0,0,0,0,1,6
2014,3,4,4,-13.9610220629,-73.0790465813,1,0,0,1,0,0,,1,1,0,0,0,0,4
2014,3,4,6,-14.7405673343,-73.502217581,1,0,0,1,0,0,,1,1,0,0,0,0,4
2014,3,4,7,-14.1225101965,-73.2572746457,1,0,0,0,0,0,,1,0,0,0,0,0,5
